loop 11
         2030025 function calls (2022494 primitive calls) in 39.820 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      480    0.000    0.000    0.000    0.000 webelement.py:59(__init__)
      940    0.000    0.000    0.000    0.000 webelement.py:595(parent)
     1880    0.001    0.000    0.001    0.000 webelement.py:600(id)
      217    0.000    0.000    1.351    0.006 webelement.py:620(_execute)
     8312    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10bc80400}
     6777    0.004    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
     1640    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
    12902    0.007    0.000    0.014    0.000 {built-in method builtins.any}
        1    0.000    0.000   39.827   39.827 {built-in method builtins.exec}
    14760    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    38275    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
   126875    0.023    0.000    0.030    0.000 {built-in method builtins.isinstance}
    41873    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      233    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     3280    0.002    0.000    0.005    0.000 {built-in method builtins.next}
   282540    0.025    0.000    0.025    0.000 {built-in method builtins.ord}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      868    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 {built-in method math.floor}
     1640    0.001    0.000    0.001    0.000 {built-in method select.poll}
     1640    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      652   29.181    0.045   29.181    0.045 {built-in method time.sleep}
     3280    0.002    0.000    0.004    0.000 {function HTTPResponse.close at 0x10c6c9a60}
     1640    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x10c6c99d0}
     3280    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
     3280    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     3280    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1640    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1640    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     3280    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
    54383    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     1640    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
    47323    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       24    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1640    0.003    0.000    0.009    0.000 {method 'close' of '_io.BufferedReader' objects}
     6560    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
     4920    0.002    0.000    0.002    0.000 {method 'count' of 'bytes' objects}
     6560    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     4920    0.002    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
   287460    0.032    0.000    0.032    0.000 {method 'decode' of 'bytes' objects}
      181    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    46909    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     3280    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     4920    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     3280    0.001    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
     1640    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     7492    0.003    0.000    0.003    0.000 {method 'find' of 'str' objects}
     2133    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
    11263    0.008    0.000    0.008    0.000 {method 'fullmatch' of 're.Pattern' objects}
    10542    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     1857    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     6560    0.002    0.000    0.002    0.000 {method 'groups' of 're.Match' objects}
      450    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      233    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      826    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
     5138    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    14543    0.003    0.000    0.003    0.000 {method 'join' of 'bytes' objects}
    16398    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1641    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    98848    0.014    0.000    0.014    0.000 {method 'lower' of 'str' objects}
     4920    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
    21320    0.029    0.000    0.029    0.000 {method 'match' of 're.Pattern' objects}
     6560    0.002    0.000    0.002    0.000 {method 'partition' of 'str' objects}
     1640    0.060    0.000    0.060    0.000 {method 'poll' of 'select.poll' objects}
     1640    0.004    0.000    0.004    0.000 {method 'pop' of 'collections.OrderedDict' objects}
     1640    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
     6560    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1670    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1640    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
     6560    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
     1640    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     3280    0.001    0.000    0.001    0.000 {method 'read' of '_io.StringIO' objects}
     8200    0.009    0.000    8.786    0.001 {method 'readline' of '_io.BufferedReader' objects}
     3280    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
     1640    8.770    0.005    8.770    0.005 {method 'recv_into' of '_socket.socket' objects}
     1640    0.002    0.000    0.002    0.000 {method 'register' of 'select.poll' objects}
     1640    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     6560    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    19463    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
     6560    0.001    0.000    0.001    0.000 {method 'seek' of '_io.StringIO' objects}
     3063    0.035    0.000    0.035    0.000 {method 'sendall' of '_socket.socket' objects}
     4920    0.002    0.000    0.002    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
     1640    0.005    0.000    0.005    0.000 {method 'settimeout' of '_socket.socket' objects}
    19679    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
    22958    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    18039    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     1640    0.007    0.000    0.011    0.000 {method 'sub' of 're.Pattern' objects}
     4920    0.005    0.000    0.005    0.000 {method 'subn' of 're.Pattern' objects}
     3280    0.001    0.000    0.001    0.000 {method 'truncate' of '_io.StringIO' objects}
     6343    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     3497    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     1640    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
     
