6 seconds

loop 12
         1532162 function calls (1526568 primitive calls) in 16.731 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1195    0.005    0.000    0.054    0.000 wait.py:90(poll_wait_for_socket)
5656/1195    0.009    0.000    0.012    0.000 webdriver.py:267(_wrap_value)
     1593    0.001    0.000    0.003    0.000 webdriver.py:276(<genexpr>)
      480    0.001    0.000    0.002    0.000 webdriver.py:280(create_web_element)
1923/1195    0.003    0.000    0.005    0.000 webdriver.py:284(_unwrap_value)
     1195    0.007    0.000    9.524    0.008 webdriver.py:301(execute)
        1    0.000    0.000    1.695    1.695 webdriver.py:329(get)
      480    0.001    0.000    3.268    0.007 webdriver.py:345(find_element_by_id)
      531    0.002    0.000    2.759    0.005 webdriver.py:616(execute_script)
        1    0.000    0.000    0.633    0.633 webdriver.py:739(fullscreen_window)
        1    0.000    0.000    0.021    0.021 webdriver.py:824(refresh)
      480    0.001    0.000    3.267    0.007 webdriver.py:954(find_element)
      531    0.003    0.000    2.762    0.005 webelement.py:114(get_attribute)
      181    0.001    0.000    1.155    0.006 webelement.py:528(location)
      480    0.000    0.000    0.000    0.000 webelement.py:59(__init__)
      531    0.000    0.000    0.000    0.000 webelement.py:595(parent)
     1062    0.000    0.000    0.000    0.000 webelement.py:600(id)
      181    0.001    0.000    1.154    0.006 webelement.py:620(_execute)
     6244    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10e45d400}
     4961    0.003    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      7/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1195    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
       18    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     9379    0.005    0.000    0.011    0.000 {built-in method builtins.any}
        1    0.000    0.000   16.735   16.735 {built-in method builtins.exec}
10773/10764    0.004    0.000    0.010    0.000 {built-in method builtins.getattr}
    27775    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    92292    0.017    0.000    0.022    0.000 {built-in method builtins.isinstance}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
34068/34005    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      339    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     2408    0.001    0.000    0.004    0.000 {built-in method builtins.next}
   206840    0.018    0.000    0.018    0.000 {built-in method builtins.ord}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      724    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       18    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 {built-in method math.floor}
        3    0.000    0.000    0.000    0.000 {built-in method objc._objc.loadBundleFunctions}
        9    0.000    0.000    0.000    0.000 {built-in method objc._objc.lookUpClass}
     1196    0.001    0.000    0.001    0.000 {built-in method select.poll}
     1195    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      549    6.932    0.013    6.932    0.013 {built-in method time.sleep}
     2390    0.001    0.000    0.003    0.000 {function HTTPResponse.close at 0x10ee8e550}
     1195    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x10ee8e5e0}
     2390    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
     2390    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     2390    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1195    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1195    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2390    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
    71896    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
     1195    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
    36322    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1195    0.003    0.000    0.007    0.000 {method 'close' of '_io.BufferedReader' objects}
     4780    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
