time: 5
loop 13
         1895504 function calls (1888705 primitive calls) in 17.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    attributeValue = self.parent.execute_script(
  File "/Users/tommymartinson/minesweeper_solver/venv/lib/python3.9/site-packages/selenium/webdriver/remote/webdriver.py", line 634, in execute_script
    return self.execute(command, {
  File "/Users/tommymartinson/minesweeper_solver/venv/lib/python3.9/site-packages/selenium/webdriver/remote/webdriver.py", line 321, in execute
    self.error_handler.check_response(response)
  File "/Users/tommymartinson/minesweeper_solver/venv/lib/python3.9/site-packages/selenium/webdriver/remote/errorhandler.py", line 241, in check_response
    raise exception_class(message, screen, stacktrace, alert_text)
selenium.common.exceptions.UnexpectedAlertPresentException: Alert Text: 5 is a new all-time high score! Please enter your name
Message: unexpected alert open: {Alert text : 5 is a new all-time high score! Please enter your name}
  (Session info: chrome=90.0.4430.85)

